ID,Day,Time,dv_No,other_no
1,Sunday,12am - < 6am,982,1244
2,Sunday,6am - < 12pm,1094,1843
3,Sunday,12pm - < 6pm,1688,2560
4,Sunday,6pm - < 12pm,1672,2202
5,Monday,12am - < 6am,485,807
6,Monday,6am - < 12pm,978,1938
7,Monday,12pm - < 6pm,1372,2368
8,Monday,6pm - < 12pm,1422,1928
9,Tuesday,12am - < 6am,398,741
10,Tuesday,6am - < 12pm,930,1871
11,Tuesday,12pm - < 6pm,1362,2250
12,Tuesday,6pm - < 12pm,1517,2003
13,Wednesday,12am - < 6am,523,897
14,Wednesday,6am - < 12pm,922,1816
15,Wednesday,12pm - < 6pm,1301,2181
16,Wednesday,6pm - < 12pm,1472,2046
17,Thursday,12am - < 6am,489,799
18,Thursday,6am - < 12pm,827,1733
19,Thursday,12pm - < 6pm,1242,2178
20,Thursday,6pm - < 12pm,1499,2001
21,Friday,12am - < 6am,476,847
22,Friday,6am - < 12pm,839,1666
23,Friday,12pm - < 6pm,1320,2214
24,Friday,6pm - < 12pm,1722,2287
25,Saturday,12am - < 6am,918,1174
26,Saturday,6am - < 12pm,1053,1707
27,Saturday,12pm - < 6pm,1501,2174
28,Saturday,6pm - < 12pm,2074,2362
